from	to	weight
CACNG3	CACNG2	1
CACNG3	CATSPER4	1
CACNG3	PPP2R1A	1
CACNG3	CACNG5	1
AQR	SF3B5	1
AQR	HNRNPM	1
AQR	PRPF3	1
AQR	SRSF3	1
AQR	PRPF8	1
AQR	PRPF19	1
AQR	SF3B4	1
AQR	SF3B3	1
AQR	DDX49	1
AQR	SF3B2	1
AQR	DDX46	1
AQR	U2AF2	1
AQR	POLR2D	1
AQR	NUDT21	1
AQR	DDB1	1
AQR	PHF5A	1
AQR	ALYREF	1
AQR	PRPF31	1
AQR	RPS27A	1
AQR	TFIP11	1
AQR	RPA1	1
AQR	LSM4	1
AQR	RBM17	1
AQR	CDC5L	1
AQR	PAPOLA	1
AQR	USP39	1
AQR	EFTUD2	1
AQR	POLR2I	1
AQR	CDC40	1
AQR	EIF4A3	1
AQR	LSM6	1
AQR	NHP2L1	1
AQR	POLR2F	1
AQR	SNRNP200	1
AQR	SNRNP27	1
AQR	SF3A2	1
AQR	RPA2	1
AQR	SNRPD1	1
AQR	HNRNPU	1
AQR	XAB2	1
AQR	SF3A1	1
AQR	PRPF38A	1
AQR	SRSF1	1
AQR	PABPN1	1
PSMC4	RPS3	1
PSMC4	PSMC2	1
PSMC4	RPL7	1
PSMC4	PSMD11	1
PSMC4	RPL3	1
PSMC4	RPL7A	1
PSMC4	EIF3F	1
PSMC4	PSMA6	1
PSMC4	RPS15A	1
PSMC4	EIF3D	1
PSMC4	RPS13	1
PSMC4	RPL36	1
PSMC4	RPL38	1
PSMC4	CCT7	1
PSMC4	CDC5L	1
PSMC4	PSMA1	1
PSMC4	RPL5	1
PSMC4	VCP	1
PSMC4	RPLP0	1
PSMC4	RPS8	1
PSMC4	COPS2	1
PSMC4	PSMA2	1
PSMC4	RPS19	1
PSMC4	RPS5	1
PSMC4	CCT3	1
PSMC4	PSMA3	1
PSMC4	PSMB2	1
PSMC4	RPL11	1
PSMC4	CCT4	1
PSMC4	PSMD1	1
PSMC4	PSMB3	1
PSMC4	PSMD7	1
PSMC4	RPS24	1
PSMC4	RPS27A	1
PSMC4	RPL35	1
PSMC4	RPS6	1
PSMC4	DDI1	1
PSMC4	RPL10A	1
PSMC4	PPP2R1A	1
PSMC4	PSMC1	1
PSMC4	NEDD8	1
PSMC4	EEF2	1
PSMC4	RPL19	1
PSMC4	SHFM1	1
PSMC4	RPS11	1
NOX3	TRPV5	1
NOX3	OTOP1	1
PRLH	NPVF	1
PRLH	PRLHR	1
FGF4	FGF6	1
FGF4	FGF3	1
FGF4	INS	1
FGF4	RPS27A	1
FGF4	CDX2	1
FGF4	ZP2	1
FGF4	T	1
TGM6	ASB17	1
SF3A1	SF3B5	1
SF3A1	HNRNPM	1
SF3A1	PRPF3	1
SF3A1	SRSF3	1
SF3A1	PRPF8	1
SF3A1	PRPF19	1
SF3A1	SF3B4	1
SF3A1	SF3B3	1
SF3A1	SF3B2	1
SF3A1	DDX46	1
SF3A1	U2AF2	1
SF3A1	POLR2D	1
SF3A1	NUDT21	1
SF3A1	PHF5A	1
SF3A1	ALYREF	1
SF3A1	PRPF31	1
SF3A1	TFIP11	1
SF3A1	LSM4	1
SF3A1	RBM17	1
SF3A1	CDC5L	1
SF3A1	PAPOLA	1
SF3A1	USP39	1
SF3A1	EFTUD2	1
SF3A1	POLR2I	1
SF3A1	CDC40	1
SF3A1	EIF4A3	1
SF3A1	LSM6	1
SF3A1	NHP2L1	1
SF3A1	POLR2F	1
SF3A1	SNRNP200	1
AQR	SF3A1	1
SF3A1	SNRNP27	1
SF3A1	SF3A2	1
SF3A1	SNRPD1	1
SF3A1	HNRNPU	1
SF3A1	XAB2	1
