gene	condition	intervention	replicate	gene_conditions	gamma	beta	l	readout
PSMC5	C0	S0	R0	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9243277501876104
PSMC5	C0	S0	R1	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-1.0355933665534023
PSMC5	C0	S0	R2	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-1.030513105659723
PSMC5	C0	S0	R3	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9788567448286722
PSMC5	C0	S0	R4	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-1.0797008737706528
PSMC5	C0	S1	R0	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.8297783105648611
PSMC5	C0	S1	R1	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9621026493718674
PSMC5	C0	S1	R2	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9433797908390447
PSMC5	C0	S1	R3	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9124704412925599
PSMC5	C0	S1	R4	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-1.0519433354683028
PSMC5	C0	S2	R0	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9984129290863638
PSMC5	C0	S2	R1	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.8448101404399624
PSMC5	C0	S2	R2	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.8504273799301303
PSMC5	C0	S2	R3	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9565984860788234
PSMC5	C0	S2	R4	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.7312278015962139
PSMC5	C0	S3	R0	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-1.0428539852645333
PSMC5	C0	S3	R1	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9467800140242575
PSMC5	C0	S3	R2	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.9353652673223065
PSMC5	C0	S3	R3	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-1.1915897930234136
PSMC5	C0	S3	R4	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.7185284116471516
PSMC5	C0	S4	R0	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.8756480915547538
PSMC5	C0	S4	R1	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-1.0167402311995388
PSMC5	C0	S4	R2	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.7071639487230151
PSMC5	C0	S4	R3	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.8537150929915214
PSMC5	C0	S4	R4	PSMC5-C0	-0.8375654636336758	-0.07471582937508377	0.0	-0.8693286790065632
PSMC5	C1	S5	R0	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.7290198433509057
PSMC5	C1	S5	R1	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.6576977311273794
PSMC5	C1	S5	R2	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.8208880351538369
PSMC5	C1	S5	R3	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.5888173940884167
PSMC5	C1	S5	R4	PSMC5-C1	-0.8375654636336758	0.16924546010277466	0.0	-0.7057638354152233
